Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Unnamed: 11,ID,Stock Inicial,Inventario,Ventas ,Ticket ($M),$xm2 ($k),Superficie,Absorción,Meses Mercado,Meses de Inv.,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
North Enclave Fase 1,Otro,2025 - Q3,0.2222222222222222,27.0,46.0,20.0,6.0,90127500.0,144899.51768488745,622.0,,Nort,20.0,6.0,14.0,90.1275,144.89951768488746,622.0,0.2222222222222222,46.0,27.0,,Absorción 2025,0.4444444444444444,1,0.2222222222222222,2.5555555555555554,1.6666666666666667,0.7777777777777778,0,0.7777777777777778,0.4444444444444444,2.5555555555555554,0.1111111111111111,0.1111111111111111,2.4285714285714284,0.7777777777777778,0,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.1111111111111111,0,0.2222222222222222,0.1111111111111111,1.1111111111111112,0.1111111111111111,0,0,0.1111111111111111,0
Colorado Hills Fase II,Si Soluciones Inmobiliarias,2025 - Q3,0.1111111111111111,81.0,36.0,20.0,9.0,8843373.3333333,67491.78298254812,131.0288888888889,,Hils,20.0,9.0,11.0,8.8433733333333,67.49178298254812,131.0288888888889,0.1111111111111111,36.0,81.0,,Meses Mercado,38,10,45,9,46,24,1,9,58,9,37,28,7,21,49,41,17,6,16,113,33,46,36,9,20,7,29,12,33
Nolah,Baja Capstone,2025 - Q3,1.1111111111111112,5.3999999999999995,9.0,16.0,6.0,12776596.4,101039.36734720776,126.45166666666667,,Nola,16.0,6.0,10.0,12.7765964,101.03936734720776,126.45166666666667,1.1111111111111112,9.0,5.3999999999999995,,Meses de Inv.,83.25,75,9,16.434782608695652,15.6,18,0,51.42857142857143,4.5,8.608695652173914,207,351,9.470588235294118,6.428571428571429,0,14.399999999999999,207,36,63,27,0,27,81,5.3999999999999995,45,0,0,117,0
La Reserva,Tempo Development,2025 - Q3,0.1111111111111111,45.0,20.0,16.0,5.0,45823200.0,142308.07453416148,322.0,,Rese,16.0,5.0,11.0,45.8232,142.30807453416148,322.0,0.1111111111111111,20.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avita Living San Jose T. Agave,Otro,2025 - Q3,0,0.0,7.0,16.0,16.0,10858019.0625,66360.4366011574,163.621875,,Avit,16.0,16.0,0.0,10.8580190625,66.3604366011574,163.621875,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma,Otro,2025 - Q3,0,0.0,29.0,16.0,3.0,68747000.0,185928.32995267073,369.75,,Emma,16.0,3.0,13.0,68.747,185.92832995267074,369.75,0.0,29.0,0.0,,ID,Nima,Hide,Cora,Duna,Ceni,Mare,Vita,Alan,Puma,Cany,Tuga,OneM,Rena,Walk,Colo,Weli,Lana,Mura,Cosu,Vera,Suse,Nort,Hils,Nola,Rese,Avit,Emma,Para,Vale
Paramo,Otro,2025 - Q3,0.1111111111111111,117.0,12.0,14.0,13.0,7681776.9230769,61609.661299278,124.68461538461537,,Para,14.0,13.0,1.0,7.6817769230768995,61.609661299278,124.68461538461537,0.1111111111111111,12.0,117.0,,Stock Inicial,93,85,66,65,59,50,48,47,47,45,45,42,40,35,35,33,30,28,26,22,22,20,20,16,16,16,16,14,12
El Valle,Otro,2025 - Q3,0,0.0,33.0,12.0,10.0,57031950.0,201135.4258508199,283.55000000000007,,Vale,12.0,10.0,2.0,57.03195,201.1354258508199,283.55000000000007,0.0,33.0,0.0,,Inventario,37,75,2,42,26,14,48,40,2,22,23,39,23,5,1,8,23,24,14,3,14,6,9,6,5,16,3,13,10
,,,,,,,,,,,,,,,,,,,,,,,Ventas ,56,10,64,23,33,36,0,7,45,23,22,3,17,30,34,25,7,4,12,19,8,14,11,10,11,0,13,1,2
,,,,,,,,,,,,,,,,,,,,,,,Ticket ($M),10.149575675676,7.237248376000026,20.2214817,21.153086187571,16.223427,12.282290742857,7.297544375,6.6922400025,12.1146,16.17143304587809,24.072456521739,12.235381407692,8.811007617391299,9.54528,5.668425,20.00761875,31.062260869564998,27.296864583333,10.337928814285998,77.775,6.7757736857143,90.1275,8.8433733333333,12.7765964,45.8232,10.8580190625,68.747,7.6817769230768995,57.03195
,,,,,,,,,,,,,,,,,,,,,,,$xm2 ($k),78.0678161301882,68.47929867190508,64.57442663260419,101.68588987959048,77.31331967213114,56.75903707200107,65.02118540243544,65.5692153433516,100.88354082524877,81.1152592360506,127.16272393201582,85.71580292796622,84.27308593100233,88.30373001776199,58.96011025587685,101.29926965723256,112.88817397652191,107.92829489291466,74.68291247407245,217.6133184107443,54.54906935020138,144.89951768488746,67.49178298254812,101.03936734720776,142.30807453416148,66.3604366011574,185.92832995267074,61.609661299278,201.1354258508199
,,,,,,,,,,,,,,,,,,,,,,,Superficie,130.00972972972968,105.68520000000004,313.15,208.02380952380952,209.84,216.39357142857148,112.23333333333328,102.06374999999996,120.08500000000001,199.36363636363637,189.30434782608697,142.74358974358975,104.55304347826086,108.096,96.14,197.51,275.15956521739133,252.91666666666666,138.42428571428573,357.3999999999999,124.21428571428571,622,131.0288888888889,126.45166666666667,322,163.621875,369.75,124.68461538461537,283.55000000000007
,,,,,,,,,,,,,,,,,,,,,,,Absorción,0.4444444444444444,1,0.2222222222222222,2.5555555555555554,1.6666666666666667,0.7777777777777778,0,0.7777777777777778,0.4444444444444444,2.5555555555555554,0.1111111111111111,0.1111111111111111,2.4285714285714284,0.7777777777777778,0,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.1111111111111111,0,0.2222222222222222,0.1111111111111111,1.1111111111111112,0.1111111111111111,0,0,0.1111111111111111,0
,,,,,,,,,,,,,,,,,,,,,,,Meses Mercado,38,10,45,9,46,24,1,9,58,9,37,28,7,21,49,41,17,6,16,113,33,46,36,9,20,7,29,12,33
,,,,,,,,,,,,,,,,,,,,,,,Meses de Inv.,83.25,75,9,16.434782608695652,15.6,18,0,51.42857142857143,4.5,8.608695652173914,207,351,9.470588235294118,6.428571428571429,0,14.399999999999999,207,36,63,27,0,27,81,5.3999999999999995,45,0,0,117,0
,,,No modificar filtros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
