Codigo COL,Proyecto,Desarrollador,Tipo de Modelo,Nombre Modelo,Precio Promedio Inv.,$M2 Promedio Inv,Metrajes (M2),Dormitorios,Baños,Cajones,Unidades Totales,Unidades Inventario,Meses en el Mercado,Ventas,Abs
CAB-10264,La Reserva,Tempo Development,Tradicional,Residencia,41349518.668586396,128414.65425026832,322,3 Recámaras,3.0,2.0,8.0,3.0,20.0,5.0,0.25
CAB-10263,Santarena,Otro,Tradicional,Modelo A,8312235.517890242,88428.03742436427,94,2 Recámaras,2.0,1.0,14.0,10.0,7.0,4.0,0.5714285714285714
CAB-10263,Santarena,Otro,Tradicional,Modelo B,8638994.085064862,79256.82646848497,109,2 Recámaras,2.0,1.0,14.0,8.0,7.0,6.0,0.8571428571428571
CAB-10263,Santarena,Otro,Tradicional,Modelo C,12084766.282019997,103288.60070102561,117,2 Recámaras,2.0,2.0,12.0,5.0,7.0,7.0,1.0
CAB-10262,El Valle,Otro,Tradicional,Planta alta,54033267.714348614,190930.2746090057,283,3 Recámaras,3.0,2.0,6.0,5.0,33.0,1.0,0.030303030303030304
CAB-10262,El Valle,Otro,Tradicional,Planta baja,56343825.66613114,199094.790339686,283,3 Recámaras,3.0,2.0,6.0,5.0,33.0,1.0,0.030303030303030304
CAB-10258,Verandas,Otro,Penthouse,Modelo C PH,61212391.139999986,117265.11712643676,522,4 Recámaras,4.0,2.0,1.0,0.0,113.0,1.0,0.008849557522123894
CAB-10258,Verandas,Otro,Penthouse,Modelo E PH,76464897.05635218,146484.47711944862,522,4 Recámaras,4.0,2.0,1.0,0.0,113.0,1.0,0.008849557522123894
CAB-10258,Verandas,Otro,Tradicional,Modelo C,57660261.344653845,161967.02624902767,356,4 Recámaras,4.0,2.0,4.0,2.0,113.0,2.0,0.017699115044247787
CAB-10258,Verandas,Otro,Tradicional,Modelo D,42700106.56791461,175000.43675374842,244,3 Recámaras,3.0,2.0,6.0,0.0,113.0,6.0,0.05309734513274336
CAB-10258,Verandas,Otro,Tradicional,Modelo E,52726725.0290039,146871.10035934235,359,4 Recámaras,4.0,2.0,4.0,1.0,113.0,3.0,0.02654867256637168
CAB-10258,Verandas,Otro,Tradicional,Modelo F,41120025.42756775,168524.69437527767,244,3 Recámaras,3.0,2.0,6.0,0.0,113.0,6.0,0.05309734513274336
CAB-10255,Emma,Otro,Tradicional,Residencia A,53448785.40260313,144066.80701510276,371,4 Recámaras,4.0,2.0,5.0,1.0,29.0,4.0,0.13793103448275862
CAB-10255,Emma,Otro,Tradicional,Residencia B,55078853.014152244,154282.50144020235,357,3 Recámaras,3.0,2.0,6.0,1.0,29.0,5.0,0.1724137931034483
CAB-10255,Emma,Otro,Tradicional,Residencia C,70100520.2632168,184475.05332425472,380,4 Recámaras,4.0,2.0,5.0,1.0,29.0,4.0,0.13793103448275862
CAB-09881,Paramo,Otro,Tradicional,119 m2,7240658.220000001,60845.86739495799,119,2 Recámaras,2.0,1.0,2.0,1.0,12.0,1.0,0.08333333333333333
CAB-09881,Paramo,Otro,Tradicional,121.8 m2,8350281.2250000015,69010.58863636365,121,2 Recámaras,2.0,1.0,6.0,6.0,12.0,0.0,0.0
CAB-09881,Paramo,Otro,Tradicional,128.5 m2,8155635.975000001,63715.906054687504,128,2 Recámaras,2.0,1.0,6.0,6.0,12.0,0.0,0.0
CAB-09879,Hideaways,Otro,Tradicional,1R Loft,5163445.326695651,75933.01951023017,68,1 Recámara,1.0,1.0,18.0,17.0,10.0,1.0,0.1
CAB-09879,Hideaways,Otro,Tradicional,3R Departamento,8281526.533615384,72013.27420535116,115,3 Recámaras,2.0,2.0,13.0,13.0,10.0,0.0,0.0
CAB-09879,Hideaways,Otro,Tradicional,4R Corner,12640778.344912497,68328.53159412161,185,3 + 1 E Recámaras,3.0,2.0,4.0,4.0,10.0,0.0,0.0
CAB-09879,Hideaways,Otro,Tradicional,4R Departamento,12669455.211592307,81738.42071995037,155,4 Recámaras,3.0,2.0,4.0,3.0,10.0,1.0,0.1
CAB-09878,Hideaways,Otro,Loft,1R Loft,5258695.077821427,77333.75114443275,68,1 Recámara,1.0,1.0,6.0,5.0,10.0,1.0,0.1
CAB-09878,Hideaways,Otro,Tradicional,1.5 R Departamento,5607272.236162498,73779.89784424339,76,1 + 1 E Recámaras,1.0,1.0,9.0,9.0,10.0,0.0,0.0
CAB-09878,Hideaways,Otro,Tradicional,2R Departamento,7023088.264406251,73927.24488848685,95,2 Recámaras,2.0,1.0,16.0,11.0,10.0,5.0,0.5
CAB-09878,Hideaways,Otro,Tradicional,3R Departamento,8508654.74721111,73988.30214966183,115,3 Recámaras,2.0,2.0,6.0,4.0,10.0,2.0,0.2
CAB-09878,Hideaways,Otro,Tradicional,4R Corner,12862936.701,69529.38757297298,185,3 + 1 E Recámaras,3.0,2.0,3.0,3.0,10.0,0.0,0.0
CAB-09878,Hideaways,Otro,Tradicional,4R Departamento,11214797.511149999,72353.53232999999,155,4 Recámaras,3.0,2.0,6.0,6.0,10.0,0.0,0.0
CAB-09868,Larena F.1,Otro,Garden House,Garden House,32229027.136800006,111906.34422500002,288,4 Recámaras,4.0,2.0,10.0,8.0,17.0,2.0,0.11764705882352941
CAB-09868,Larena F.1,Otro,Penthouse,Penthouse,31510087.04134782,117574.95164682022,268,4 Recámaras,4.0,2.0,10.0,7.0,17.0,3.0,0.17647058823529413
CAB-09868,Larena F.1,Otro,Tradicional,First Level,29330232.4260898,109441.16576899179,268,4 Recámaras,4.0,2.0,10.0,8.0,17.0,2.0,0.11764705882352941
CAB-09279,Mare,Cuadro,Tradicional,Tipo 137,8664945.101189472,63712.83162639318,136,2 Recámaras,2.0,2.0,8.0,0.0,24.0,8.0,0.3333333333333333
CAB-09279,Mare,Cuadro,Tradicional,Tipo 187,11103320.780199999,59695.27301182795,186,3 Recámaras,3.0,2.0,12.0,2.0,24.0,10.0,0.4166666666666667
CAB-09279,Mare,Cuadro,Tradicional,Tipo 193,12137847.1512064,63217.95391253333,192,3 Recámaras,3.0,2.0,12.0,4.0,24.0,8.0,0.3333333333333333
CAB-09279,Mare,Cuadro,Tradicional,Tipo 224,11940068.878620002,53303.878922410724,224,3 Recámaras,3.0,2.0,4.0,4.0,24.0,0.0,0.0
CAB-09279,Mare,Cuadro,Tradicional,Tipo 229,11966755.11744,52485.76805894737,228,3 Recámaras,3.0,2.0,4.0,3.0,24.0,1.0,0.041666666666666664
CAB-09279,Mare,Cuadro,Tradicional,Tipo 235,11398890.169019999,48505.91561285106,235,3 Recámaras,4.0,1.0,2.0,0.0,24.0,2.0,0.08333333333333333
