Codigo COL,Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Estatus,Latitud,Longitud,Fecha Inicio Venta,Último Levantamiento,Alberca,Asadores,Bar,Canchas Deportivas,Casa Club,Fogatero,Gimnasio,Jacuzzi,Ludoteca,Pet Zone,Pista de Jogging ,Sala de Cine,Salón de Usos Multiples,Salón de Yoga,Sauna,Spa,Terraza
CAB-05676,Wen Living,Awen Developers,2025 - Q3,0.5555555555555556,14.399999999999999,41.0,33,8,20007618.75,101299.26965723255,197.51,En Construcción,23.04398540664675,-109.71001948769639,2022-05-01,2025-10-01,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
CAB-12528,Casa Nima,Central de Arquitectura,2025 - Q3,0.4444444444444444,83.25,38.0,93,37,10149575.675676,78067.8161301882,130.00972972972968,En Construcción,23.047912124439534,-109.70310859449481,2022-08-01,2025-10-01,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CAB-05681,Punto Nima,Fortem Capital,2025 - Q3,0.4444444444444444,4.5,58.0,47,2,12114600.0,100883.54082524877,120.08500000000001,Terminado,23.04111991384007,-109.7060265345587,2020-12-01,2025-10-01,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAB-05663,Cora,Grupo Habitat,2025 - Q3,0.2222222222222222,9.0,45.0,66,2,20221481.7,64574.42663260418,313.15,En Construcción,23.038350817973146,-109.72014359789436,2022-01-01,2025-10-01,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
CAB-10272,Cora Sur,Grupo Habitat,2025 - Q3,0.2222222222222222,63.0,16.0,26,14,10337928.814286,74682.91247407245,138.42428571428573,En Construcción,23.03833756042487,-109.72010087598309,2024-06-01,2025-10-01,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAB-05654,North Enclave Fase 1,Otro,2025 - Q3,0.2222222222222222,27.0,46.0,20,6,90127500.0,144899.51768488745,622.0,Preventa,23.065672173073025,-109.66853758491526,2021-12-01,2025-10-01,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CAB-05667,Colorado Hills Fase II,Si Soluciones Inmobiliarias,2025 - Q3,0.1111111111111111,81.0,36.0,20,9,8843373.3333333,67491.78298254812,131.0288888888889,En Construcción,23.00138860150159,-109.73784748783822,2022-10-01,2025-10-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAB-10264,La Reserva,Tempo Development,2025 - Q3,0.1111111111111111,45.0,20.0,16,5,45823200.0,142308.07453416148,322.0,En Construcción,23.020471217095455,-109.72930328794075,2024-02-01,2025-10-01,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAB-09868,Larena F.1,Otro,2025 - Q3,0.1111111111111111,207.0,17.0,30,23,31062260.869565,112888.17397652191,275.15956521739133,Preventa,23.039312648429384,-109.71646260469136,2024-05-01,2025-10-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAB-05693,One Marina Place,Baja Capstone,2025 - Q3,0.1111111111111111,351.0,28.0,42,39,12235381.407692,85715.80292796623,142.74358974358975,Preventa,23.065444038333702,-109.66994363098806,2023-06-01,2025-10-01,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAB-09881,Paramo,Otro,2025 - Q3,0.1111111111111111,117.0,12.0,14,13,7681776.9230769,61609.661299278,124.68461538461537,Preventa,23.056115964568114,-109.71409633019769,2024-10-01,2025-10-01,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAB-10281,Tortuga Bay,Otro,2025 - Q3,0.1111111111111111,207.0,37.0,45,23,24072456.521739,127162.72393201583,189.30434782608697,En Construcción,23.042661809914755,-109.70013507591858,2022-09-01,2025-10-01,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAB-10258,Verandas,Otro,2025 - Q3,0.1111111111111111,27.0,113.0,22,3,77775000.0,217613.3184107443,357.3999999999999,Terminado,23.030397939370573,-109.74862478004465,2016-06-01,2025-10-01,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAB-12522,Avita Living San Jose T. Agave,Otro,2025 - Q3,0.0,0.0,7.0,16,16,10858019.0625,66360.4366011574,163.621875,Friends & Family,23.069396554425566,-109.68076929573918,2025-03-01,2025-10-01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAB-05699,Colorado Hills Fase 1,Si Soluciones Inmobiliarias,2025 - Q3,0.0,0.0,49.0,35,1,5668425.0,58960.11025587685,96.14,En Construcción,23.001391372609802,-109.73785823604513,2021-09-01,2025-10-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAB-10262,El Valle,Otro,2025 - Q3,0.0,0.0,33.0,12,10,57031950.0,201135.4258508199,283.55000000000007,En Construcción,23.032395342666387,-109.7360532534879,2023-01-01,2025-10-01,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAB-10255,Emma,Otro,2025 - Q3,0.0,0.0,29.0,16,3,68747000.0,185928.32995267073,369.75,En Construcción,23.039832274587063,-109.7033738016913,2023-05-01,2025-10-01,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAB-05662,Sun & Sea condos,Construyendo Alkimia,2025 - Q3,0.0,0.0,33.0,22,14,6775773.6857143,54549.06935020138,124.21428571428571,En Construcción,23.025847538221697,-109.72037125172005,2023-01-01,2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
CAB-12529,Vitai T1,Otro,2025 - Q3,0.0,0.0,1.0,48,48,7297544.375,65021.18540243543,112.23333333333328,Friends & Family,23.059228125914135,-109.71229531905529,2025-09-01,2025-10-01,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
,29,,,17.206349206349202,32.13929889298894,27.896551724137932,1093,553,15740770.152779909,94785.58850347546,166.06712477396022,,,,,,,,,,,,,,,,,,,,,,
