Codigo COL,Proyecto,Desarrollador,Tipo de Modelo,Nombre Modelo,Precio Promedio Inv.,$M2 Promedio Inv,Metrajes (M2),Dormitorios,Baños,Cajones,Unidades Totales,Unidades Inventario,Meses en el Mercado,Ventas,Abs,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
CAB-05675,Wen Living ,Awen Developers,Tradicional,Growth E,12145473.333333334,76386.6247379455,159,2 Recámaras,2.0,1,2,0,41,2,0.04878048780487805,,,,,,,,,,,,,,,,
CAB-05675,Wen Living ,Awen Developers,Tradicional,Growth F,12266100,65946.7741935484,186,2 Recámaras,2.0,1,1,0,41,1,0.024390243902439025,,,,,,,,,,,,,,,,
CAB-05675,Wen Living ,Awen Developers,Tradicional,Growth G,11907000,55381.395348837206,215,2 Recámaras,2.0,1,1,0,41,1,0.024390243902439025,,,,,,,,,,,,,,,,
CAB-05675,Wen Living ,Awen Developers,Tradicional,Growth H,11245500,59500,189,2 Recámaras,2.0,1,1,0,41,1,0.024390243902439025,,,,,,,,,,,,,,,,
CAB-05669,Cenit Torre Palmilla,Baja Capstone,Tradicional,2R,12466098.633431,77913.11645894375,160,2 Recámaras,2.0,2,14,2,46,12,0.2608695652173913,,,,,,,,,,,,,,,,
CAB-05667,Colorado Hills Fase II,Si Soluciones Inmobiliarias,Tradicional,95 m2,6427081.357564515,67653.48797436332,95,2 Recámaras,2.0,1,6,2,36,4,0.1111111111111111,,,,,,,,,,,,,,,,
CAB-05667,Colorado Hills Fase II,Si Soluciones Inmobiliarias,Tradicional,145 m2,9062697.289958334,62501.3606204023,145,2 Recámaras,2.0,1,2,2,36,0,0,,,,,,,,,,,,,,,,
CAB-05662,Sun & Sea condos,Construyendo Alkimia,Penthouse,Penthouse,10287486.482501274,76772.28718284534,134,2 Recámaras,2.0,1,4,4,33,0,0,,,,,,,,,,,,,,,,
CAB-05662,Sun & Sea condos,Construyendo Alkimia,Tradicional,Condo,6428380.987693762,51841.782158820664,124,2 Recámaras,2.0,1,8,7,33,1,0.030303030303030304,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Etiquetas de fila,Suma de Unidades Inventario,Suma de Abs,Promedio de Precio Promedio Inv.,Promedio de Metrajes (M2),Promedio de $M2 Promedio Inv,,,,,,,,,,,,,,,,,,,,,,,,
,,<6000000,11,0.4058956916099773,5193640.313699954,99.66666666666667,53864.448710148725,,,,Ticket,,,,,,,,,,,,,,,,,,,,
,,6000000-7000000,59,0.2525252525252525,6607990.115260823,102.6,65250.87309375161,,,,Alana (10),Alana (10),,Alana (6),,,,,,,,,,,,,,,,,
,,7000000-8000000,16,0.5833333333333334,7145172.161468751,108.66666666666667,66268.92433257685,,,,<$6.0M,$6.0 - $7.0M,$7.0 - $8.0M,$8.0 - $9.0M,$9.0 - $10.0M,$10.0 - $11.0M,$11.0 - $12.0M,>$19.0M,,,,,,,,,,,,,
,,8000000-9000000,64,3.012747385705644,8466338.031901795,117.1,73230.56141549067,,,Inventario ,11,59,16,64,3,40,31,67,,,,,,,,,,,,,
,,9000000-10000000,3,0.39326765188834156,9250474.965433773,113.6,82976.31441686394,,,Absorción,0.4058956916099773,0.2525252525252525,0.5833333333333334,3.012747385705644,0.39326765188834156,2.470990695128626,0.7695642596820057,3.1521198507065327,,,,,,,,,,,,,
,,10000000-11000000,40,2.470990695128626,10420304.124411423,143.9,74699.33356984564,,,Meses de Inv.,27.100558659217878,233.64000000000004,27.428571428571427,21.243068802799726,7.628392484342379,16.187839184848823,40.282536006557294,21.255536963476267,,,,,,,,,,,,,
,,11000000-12000000,31,0.7695642596820057,11587934.037265379,162,75590.20015834043,,,Ticket ($M),5.193640313699954,6.607990115260823,7.145172161468751,8.466338031901795,9.250474965433773,10.420304124411423,11.587934037265379,15.357792654136556,,,,,,,,,,,,,
,,>12000000,67,3.1521198507065327,15357792.654136557,172.3793103448276,90248.50485312956,,,Superficie (m2),99.66666666666667,102.6,108.66666666666667,117.1,113.6,143.9,162,172.3793103448276,,,,,,,,,,,,,
,,Total general,291,11.040444120579709,11552406.82312967,145.8,79385.91531811704,,,$xm2 ($k),53.86444871014872,65.25087309375161,66.26892433257684,73.23056141549067,82.97631441686394,74.69933356984563,75.59020015834044,90.24850485312956,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Etiquetas de fila,Suma de Unidades Inventario,Suma de Abs,Promedio de Precio Promedio Inv.,Promedio de Metrajes (M2),Promedio de $M2 Promedio Inv,,,,Superficie,,,,,,,,,,,,,,,,,,,,
,,<90,20,0.3333333333333333,5956000.466164093,84,70852.06021384292,,,,Alana (20),,,Alana (6),,,,,,,,,,,,,,,,,
,,90-109,74,3.384040972710923,8244207.142333185,101.15384615384616,81459.08520457266,,,,<90,90-109,110-129,130-149,150-169,170-189,190-209,>210,,,,,,,,,,,,,
,,110-129,87,3.1143030549953026,9383345.302327188,118.9375,79019.54907372643,,,Inventario ,20,74,87,43,28,25,7,7,,,,,,,,,,,,,
,,130-149,43,1.1448431189810497,10667050.59508549,137.36363636363637,77662.04290356861,,,Absorción,0.3333333333333333,3.384040972710923,3.1143030549953026,1.1448431189810497,2.0522621532878604,0.8156449132058889,0.04878048780487805,0.1472360862604765,,,,,,,,,,,,,
,,150-169,28,2.0522621532878604,13592658.92560888,160.13333333333333,84946.91483298635,,,Meses de Inv.,60,21.867347528218403,27.935624267668203,37.559731361508724,13.643481148420603,30.65059267241379,143.5,47.542692676686926,,,,,,,,,,,,,
,,170-189,25,0.8156449132058889,13874045.90410306,180.77777777777777,76877.2911215828,,,Ticket ($M),5.9560004661640935,8.244207142333185,9.383345302327188,10.66705059508549,13.59265892560888,13.87404590410306,11.6577974365084,18.257263524973233,,,,,,,,,,,,,
,,190-209,7,0.04878048780487805,11657797.4365084,190.5,61191.78407788912,,,Superficie (m2),84,101.15384615384616,118.9375,137.36363636363637,160.13333333333333,180.77777777777777,190.5,232.57142857142858,,,,,,,,,,,,,
,,>210,7,0.1472360862604765,18257263.524973232,232.57142857142858,78027.60755827893,,,$xm2 ($k),70.85206021384292,81.45908520457266,79.01954907372644,77.6620429035686,84.94691483298635,76.8772911215828,61.19178407788912,78.02760755827893,,,,,,,,,,,,,
,,Total general,291,11.040444120579707,11552406.82312967,145.8,79385.91531811705,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,
