Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Unnamed: 11,ID,Stock Inicial,Inventario,Ventas ,Ticket ($M),$xm2 ($k),Superficie,Absorción,Meses Mercado,Meses de Inv.,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
North Enclave Fase 1,Otro,2025 - Q3,0.2222222222222222,27.0,46.0,20.0,6.0,90127500.0,144899.51768488745,622.0,,Nort,20.0,6.0,14,90.1275,144.89951768488746,622.0,0.2222222222222222,46.0,27.0,,Meses de Inv.,75,0,16.434782608695652,51.42857142857143,351,83.25,15.6,36,9.470588235294118,207,207,8.608695652173914,0,18,63,0,117,0,81,14.399999999999999,5.3999999999999995,27,6.428571428571429,45,27,0,4.5,9,0
Laiva Art Walk,Otro,2025 - Q3,0.7777777777777778,6.428571428571429,21.0,35.0,5.0,9545280.0,88303.73001776199,108.096,,Walk,35.0,5.0,30,9.54528,88.30373001776199,108.096,0.7777777777777778,21.0,6.428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Reserva,Tempo Development,2025 - Q3,0.1111111111111111,45.0,20.0,16.0,5.0,45823200.0,142308.07453416148,322.0,,Rese,16.0,5.0,11,45.8232,142.30807453416148,322.0,0.1111111111111111,20.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verandas,Otro,2025 - Q3,0.1111111111111111,27.0,113.0,22.0,3.0,77775000.0,217613.3184107443,357.3999999999999,,Vera,22.0,3.0,19,77.775,217.6133184107443,357.3999999999999,0.1111111111111111,113.0,27.0,,ID,Hide,Vita,Duna,Alan,OneM,Nima,Ceni,Mura,Rena,Lana,Tuga,Cany,Avit,Mare,Cosu,Suse,Para,Vale,Hils,Weli,Nola,Nort,Walk,Rese,Vera,Emma,Puma,Cora,Colo
Emma,Otro,2025 - Q3,0,0.0,29.0,16.0,3.0,68747000.0,185928.32995267073,369.75,,Emma,16.0,3.0,13,68.747,185.92832995267074,369.75,0.0,29.0,0.0,,Stock Inicial,85,48,65,47,42,93,59,28,40,30,45,45,16,50,26,22,14,12,20,33,16,20,35,16,22,16,47,66,35
Punto Nima,Fortem Capital,2025 - Q3,0.4444444444444444,4.5,58.0,47.0,2.0,12114600.0,100883.54082524877,120.08500000000001,,Puma,47.0,2.0,45,12.1146,100.88354082524877,120.08500000000001,0.4444444444444444,58.0,4.5,,Inventario,75,48,42,40,39,37,26,24,23,23,23,22,16,14,14,14,13,10,9,8,6,6,5,5,3,3,2,2,1
Cora,Grupo Habitat,2025 - Q3,0.2222222222222222,9.0,45.0,66.0,2.0,20221481.7,64574.42663260418,313.15,,Cora,66.0,2.0,64,20.2214817,64.57442663260419,313.15,0.2222222222222222,45.0,9.0,,Ventas ,10,0,23,7,3,56,33,4,17,7,22,23,0,36,12,8,1,2,11,25,10,14,30,11,19,13,45,64,34
Colorado Hills Fase 1,Si Soluciones Inmobiliarias,2025 - Q3,0,0.0,49.0,35.0,1.0,5668425.0,58960.11025587685,96.14,,Colo,35.0,1.0,34,5.668425,58.96011025587685,96.14,0.0,49.0,0.0,,Ticket ($M),7.237248376000026,7.297544375,21.153086187571,6.6922400025,12.235381407692,10.149575675676,16.223427,27.296864583333,8.811007617391299,31.062260869564998,24.072456521739,16.17143304587809,10.8580190625,12.282290742857,10.337928814285998,6.7757736857143,7.6817769230768995,57.03195,8.8433733333333,20.00761875,12.7765964,90.1275,9.54528,45.8232,77.775,68.747,12.1146,20.2214817,5.668425
,,,,,,,,,,,,,,,,,,,,,,,$xm2 ($k),68.47929867190508,65.02118540243544,101.68588987959048,65.5692153433516,85.71580292796622,78.0678161301882,77.31331967213114,107.92829489291466,84.27308593100233,112.88817397652191,127.16272393201582,81.1152592360506,66.3604366011574,56.75903707200107,74.68291247407245,54.54906935020138,61.609661299278,201.1354258508199,67.49178298254812,101.29926965723256,101.03936734720776,144.89951768488746,88.30373001776199,142.30807453416148,217.6133184107443,185.92832995267074,100.88354082524877,64.57442663260419,58.96011025587685
,,,,,,,,,,,,,,,,,,,,,,,Superficie,105.68520000000004,112.23333333333328,208.02380952380952,102.06374999999996,142.74358974358975,130.00972972972968,209.84,252.91666666666666,104.55304347826086,275.15956521739133,189.30434782608697,199.36363636363637,163.621875,216.39357142857148,138.42428571428573,124.21428571428571,124.68461538461537,283.55000000000007,131.0288888888889,197.51,126.45166666666667,622,108.096,322,357.3999999999999,369.75,120.08500000000001,313.15,96.14
,,,,,,,,,,,,,,,,,,,,,,,Absorción,1,0,2.5555555555555554,0.7777777777777778,0.1111111111111111,0.4444444444444444,1.6666666666666667,0.6666666666666666,2.4285714285714284,0.1111111111111111,0.1111111111111111,2.5555555555555554,0,0.7777777777777778,0.2222222222222222,0,0.1111111111111111,0,0.1111111111111111,0.5555555555555556,1.1111111111111112,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0,0.4444444444444444,0.2222222222222222,0
,,,,,,,,,,,,,,,,,,,,,,,Meses Mercado,10,1,9,9,28,38,46,6,7,17,37,9,7,24,16,33,12,33,36,41,9,46,21,20,113,29,58,45,49
,,,,,,,,,,,,,,,,,,,,,,,Meses de Inv.,75,0,16.434782608695652,51.42857142857143,351,83.25,15.6,36,9.470588235294118,207,207,8.608695652173914,0,18,63,0,117,0,81,14.399999999999999,5.3999999999999995,27,6.428571428571429,45,27,0,4.5,9,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,No modificar filtros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
